Original,Reconstructed
0.3187842,0.03953351
0.65193886,0.9748396
-0.48344213,0.27845722
0.36415976,0.6003833
-0.41120014,0.3491325
0.36873984,0.20649077
-0.8540649,0.07091323
0.5126136,0.031083735
-0.6319595,0.0045221853
0.40302926,0.0052717505
-0.30146548,0.017320974
0.636219,0.0034326366
0.21748444,0.019920552
0.76051354,0.004779754
-0.24418768,0.020035665
-0.101506196,0.0038967638
0.45691916,0.00020031234
-0.23674189,0.00066117395
-0.025354665,0.029124212
0.5470255,0.0010707348
-0.32070613,0.003522836
-0.07890058,0.0015972462
-0.6708986,0.0068072765
-0.8798598,0.004886769
0.5946635,0.027045107
0.81167054,0.0010297176
-1.4287214,0.14455608
-0.8388155,0.029082619
0.9219033,0.09984567
1.4140131,0.39884105
2.0297797,0.09706689
-0.4720467,0.011462874
0.32970643,0.030941354
-0.47613832,0.134611
2.2123153,0.12787971
0.6485317,0.13110569
3.5091462,0.08878755
0.7326114,0.03393917
-0.8803403,0.04251835
-0.032469966,0.023422567
